Complexity,CV_MAE,Expression
0.0,0.01255223,0
1.0,0.003884548168788501,-0.400801565626578*u_x
2.0,0.002838266145767037,-0.246964698592281*u*u_y - 0.424625670296283*u_x
3.0,0.0024643292281325392,-0.427621077500895*u_x - 0.198900863504297*u_xy*u_yy - 0.153337839887474*u_y
4.0,0.0024533346351057585,-0.38446140503877*u**2*u_x*u_y - 3.90367896386113*u_x**2*u_xy - 0.42708843293976*u_x - 0.159368933705483*u_y
6.0,0.002449487721349424,-0.259036319202626*u*u_x*u_y - 896.665683044491*u_x**2*u_xx*u_yy - 415.753594569713*u_x*u_xx*u_y*u_yy - 0.429078377322345*u_x - 0.742477436281247*u_xy*u_yy - 0.157886079663136*u_y
9.0,0.0024469559332701268,-4.13440577014175*u**2*u_xx*u_y - 13.0749732456993*u*u_x**2*u_xy - 85.6578637986426*u*u_x*u_xx*u_xy - 0.908130417051318*u*u_x*u_xx - 0.27265189618786*u*u_x*u_y + 0.312491373736007*u*u_xx*u_y - 0.0299695054009013*u*u_xx - 0.428840285275573*u_x - 0.158916316064923*u_y
10.0,0.002433219506629317,-0.209583427883631*u**2*u_x*u_yy - 0.0169806647688331*u**2 - 12.6890266269919*u*u_x*u_xx*u_y - 5.09995572145405*u*u_xx*u_y**2 + 0.0169711807809691*u + 46.3821354547643*u_x**2*u_xy*u_yy + 0.272845712391975*u_x*u_yy - 0.385998947170807*u_x - 0.364389660851634*u_y**2*u_yy - 0.139294079023804*u_y
25.0,0.002430446467373416,-0.0152735929374635*u**4 - 0.141557395920175*u**3*u_xx + 0.0483564716520145*u**3 + 2.95003179406548*u**2*u_xy*u_yy - 0.028985918840776*u**2*u_y*u_yy - 0.0686907040560814*u**2 - 19.0200958891021*u*u_x**2*u_y - 1.54362472529836*u*u_x*u_xx - 94.7653535495559*u*u_xx*u_xy*u_y - 0.380735912478333*u*u_xy*u_yy + 0.121060710726071*u*u_xy - 0.203078300809126*u*u_y**2*u_yy + 0.0220213565263279*u*u_y + 0.0356224995232409*u + 2.08161749486686*u_x**2*u_y**2 + 12.0051885633842*u_x**2*u_y + 0.464194124967613*u_x**2*u_yy - 80.9360907848171*u_x*u_xx*u_xy + 92.5520137433292*u_x*u_xx*u_y**2 + 3.52287918757965*u_x*u_y**2 - 0.377952086978462*u_x - 664.128459893315*u_xx*u_xy*u_y**2 + 4.71735083865475*u_xx*u_xy - 283.298741383027*u_xx*u_y**2*u_yy - 0.129779582834605*u_y
27.0,0.002427851087043787,-0.00239990423534148*u**3*u_x - 0.00581110765837694*u**3 - 1.9815382072742*u**2*u_x*u_y - 0.276241308851408*u**2*u_xy*u_yy + 0.886726708099176*u**2*u_y*u_yy - 12.7451866819886*u*u_x**2*u_y - 518.143780058091*u*u_x*u_xx*u_xy - 163.452349713175*u*u_x*u_xx*u_yy + 74.1839747675437*u*u_x*u_xy*u_y - 158.084868288945*u*u_xx*u_xy*u_y - 1.10584235021053*u*u_xx*u_y**2 - 4.59792923907039*u*u_xx*u_y - 2.32382783045478*u*u_xy*u_y - 0.0210662908411267*u*u_y + 0.00585443184487286*u - 1013.73785927851*u_x**2*u_xx*u_xy + 25.2339998407372*u_x*u_xx*u_xy + 20.1638025916383*u_x*u_xx*u_y - 16.2601005808158*u_x*u_xy*u_y**2 - 141.235878346569*u_x*u_xy*u_y*u_yy + 5.70439732852692*u_x*u_y*u_yy + 1.60026042485729*u_x*u_yy - 0.413987918065645*u_x + 1.42997823491614*u_xx*u_xy - 0.472481163222547*u_xy*u_yy - 0.114950419199427*u_y + 0.050099647590021*u_yy
32.0,0.0024072621131699928,0.0821755148823022*u**4 - 10.2776332748746*u**3*u_xx + 0.20599145295313*u**3*u_xy - 0.206835354277202*u**3*u_y - 0.151769374317574*u**3 + 12.3915050973954*u**2*u_x*u_xy + 19.7560132522249*u**2*u_xx*u_xy + 10.1627398871484*u**2*u_xx - 252.139858148528*u*u_x*u_xx*u_xy + 147.429599980042*u*u_x*u_xx*u_y + 26.9787480450975*u*u_x*u_xx + 117.227266169565*u*u_x*u_xy*u_y + 4.00190566187285*u*u_x*u_yy + 18.2627390345611*u*u_xx*u_y**2 + 60.3326189942975*u*u_xy*u_y**2 - 1.23919439264506*u*u_y**2 + 0.0180692225684793*u*u_yy + 0.0696727706033129*u + 3256.96180613004*u_x**2*u_xx*u_xy + 44.1960074007241*u_x**2*u_y**2 + 2582.60001502997*u_x*u_xx*u_xy*u_y + 234.366508607044*u_x*u_xx*u_xy - 199.283539957781*u_x*u_xx*u_y**2 + 449.999324631157*u_x*u_xx*u_y*u_yy - 19.768608646399*u_x*u_xy*u_yy + 1.96392042949733*u_x*u_xy - 81.0484152338297*u_x*u_y**2*u_yy + 5.91262427437391*u_x*u_y**2 - 0.244124270056237*u_x + 0.185125182391814*u_xx + 4.51306833902981*u_xy*u_y + 0.319113362374636*u_xy
37.0,0.002403851808263349,0.0786442014707865*u**4 + 0.112777259924865*u**3*u_xy - 0.19155370194311*u**3*u_y + 6.21040880306457*u**2*u_xx*u_xy + 1.21564114658241*u**2*u_yy - 0.203644904306174*u**2 - 123.26414382217*u*u_x**2*u_xy - 362.799611097652*u*u_x*u_xx*u_xy - 488.811764942532*u*u_x*u_xx*u_yy - 2.85217984541403*u*u_x*u_xy - 6.18936621851111*u*u_x*u_yy - 0.465948245776227*u*u_x - 80.0455728603246*u*u_xx*u_y*u_yy - 9.07834666641465*u*u_xx*u_y - 0.554351155073467*u*u_xx + 16.7439831792926*u*u_xy*u_y**2 - 0.191041408400463*u*u_xy + 11.327503856008*u*u_y**2*u_yy - 0.882501589651301*u*u_y**2 - 1.32431550265123*u*u_yy + 0.124764444436946*u - 749.117582925151*u_x**2*u_xx*u_xy + 3.52363324792053*u_x**2*u_xy + 14.8675173858918*u_x**2*u_y**2 - 29.8303377742641*u_x**2*u_yy + 0.681354233521916*u_x**2 - 1634.46579281783*u_x*u_xx*u_xy*u_y + 1435.60117402781*u_x*u_xx*u_xy*u_yy + 54.4737165337465*u_x*u_xy*u_y**2 + 4.7948172638253*u_x*u_y**2 - 1015.2234642629*u_xx*u_xy*u_y**2 + 114.939818314007*u_xx*u_xy*u_y*u_yy - 3.09360964749309*u_xx*u_y - 3.86063236436538*u_xx*u_yy + 0.506481999333949*u_xx - 0.00362150512136794*u_yy + 0.000228380182360137
38.0,0.002399272167096011,0.0509502342324964*u**4 - 0.272386857647368*u**3*u_x + 29.768090498623*u**2*u_x*u_xy - 10.4318712494118*u**2*u_xx*u_y + 0.104363653319989*u**2*u_xx + 4.06360196170106*u**2*u_xy*u_yy - 0.0695867831725329*u**2*u_yy - 0.136981405985854*u**2 - 15.0137963128432*u*u_x**2*u_xx - 424.467533788521*u*u_x*u_xx*u_xy - 23.087170273997*u*u_x*u_xy + 6.86614781907174*u*u_xx*u_y**2 - 10.2840242803966*u*u_xy*u_y*u_yy - 2.20983548391516*u*u_xy*u_y + 0.0753072510915755*u*u_xy - 0.311009984903427*u*u_y**2 + 0.882559016538447*u*u_y*u_yy + 0.085753744745771*u - 896.021458586051*u_x**2*u_xy*u_yy - 28.1406977981124*u_x**2*u_xy - 1.79733929190014*u_x**2*u_y**2 - 958.901409222913*u_x*u_xx*u_xy*u_y + 216.722134708529*u_x*u_xx*u_xy - 1247.53962425551*u_x*u_xx*u_y*u_yy - 1229.14128719789*u_x*u_xy*u_y*u_yy + 34.132457624791*u_x*u_xy*u_y - 35.1420605221545*u_x*u_y**2*u_yy + 2.68948667767056*u_x*u_yy - 0.274195074827912*u_x - 166.167248486545*u_xx*u_xy*u_y*u_yy + 7.9279580607676*u_xx*u_xy*u_y + 161.8265433657*u_xx*u_xy*u_yy + 3.0740151547678*u_xx*u_xy - 236.541322774396*u_xy*u_y**2*u_yy + 21.2973131609434*u_xy*u_y**2 + 0.63661660824571*u_y*u_yy - 0.11315773428853*u_y + 0.000233918803325153
39.0,0.0023906043713793072,0.0861500139887001*u**4 - 10.8012840565239*u**3*u_xx - 1.06461551601491*u**3*u_xy - 0.148202557929827*u**3*u_y - 0.160046809179338*u**3 + 9.17096874520889*u**2*u_x*u_xy + 16.7074581098608*u**2*u_xx*u_xy + 10.3764081791877*u**2*u_xx + 0.162519181569329*u**2*u_xy*u_yy + 1.29916500711364*u**2*u_xy + 2.85482261581459*u**2*u_y**2 - 91.375274011749*u*u_x**2*u_xx - 192.508048674482*u*u_x*u_xx*u_xy - 39.9159616170075*u*u_x*u_xx*u_y + 18.1085153406538*u*u_x*u_xx + 154.48574018641*u*u_x*u_xy*u_y - 78.6733393427008*u*u_xx*u_y**2 + 12.7318029428813*u*u_xy*u_y**2 - 2.73825633149361*u*u_y**2 + 0.138888156645781*u*u_yy + 0.0739506017083016*u + 6541.08181100621*u_x**2*u_xx*u_xy + 44.4052068491113*u_x**2*u_y**2 + 5373.5583576518*u_x*u_xx*u_xy*u_y + 520.575621691112*u_x*u_xx*u_xy - 79.7969621732189*u_x*u_xx*u_y**2 + 796.711869240649*u_x*u_xx*u_y*u_yy + 59.6921040679656*u_x*u_xy*u_yy - 2.46037888395519*u_x*u_xy - 82.92718392326*u_x*u_y**2*u_yy + 6.46680373255368*u_x*u_y**2 + 36.2673099665976*u_x*u_y*u_yy - 0.23302419556647*u_x + 245.6136983255*u_xx*u_xy*u_y + 0.215923010237226*u_xx + 3.5849723546523*u_xy*u_y + 0.043540399498196*u_xy + 8.23391044090833*u_y**2*u_yy - 0.0796098966194717*u_yy
43.0,0.0023680258786647358,0.00205954837371328*u**3*u_x - 12.1547602839322*u**3*u_xx - 1.53562069954635*u**3*u_xy + 1.79186301686754*u**3*u_yy - 9.08244002489153*u**2*u_xx*u_yy + 12.0414197800299*u**2*u_xx + 0.473978962126866*u**2*u_xy*u_y + 3.56128657603949*u**2*u_xy + 0.220994361935222*u**2*u_y - 0.0693448137838313*u**2 - 432.765979495993*u*u_x*u_xx*u_xy + 25.4732349666199*u*u_x*u_xx + 125.967026674896*u*u_x*u_xy*u_y - 7.47755419086462*u*u_x*u_xy + 84.1159313647488*u*u_x*u_y*u_yy + 2.12795932833221*u*u_x*u_y - 10.765563737556*u*u_x*u_yy - 449.335600386184*u*u_xx*u_xy*u_y - 111.381443747895*u*u_xx*u_y*u_yy - 2.36321918648002*u*u_xy + 39.8242017522365*u*u_y**2*u_yy - 1.35169259792296*u*u_y**2 - 0.0337386716312523*u*u_y - 1.88538227802753*u*u_yy + 0.0694317517336834*u + 2808.56582010797*u_x**2*u_xx*u_xy - 3.15290428089033*u_x**2*u_y + 2503.40335306814*u_x*u_xx*u_xy*u_y + 1979.71707140038*u_x*u_xx*u_xy*u_yy - 95.6240894215131*u_x*u_xx*u_y**2 - 7.98348714119268*u_x*u_xx*u_yy + 1.70337381070196*u_x*u_xx + 14.21717827147*u_x*u_xy*u_y*u_yy - 2.12838462674001*u_x*u_y - 0.284423444860106*u_x + 208.668302257334*u_xx*u_xy*u_y*u_yy + 160.727387819379*u_xx*u_xy*u_yy - 45.7016574673416*u_xx*u_y**2 + 0.164701519127577*u_xx + 14.3360831883203*u_xy*u_y**2 - 1.50102860847147*u_xy*u_yy - 0.286231306576195*u_y*u_yy - 0.14627754014334*u_y
46.0,0.002362345939773886,0.220719242871272*u**4 - 6.50705444338358*u**3*u_xx + 1.42893502314393*u**3*u_yy - 0.328668745971955*u**3 - 36.0331902073255*u**2*u_x*u_xy - 12.4047392000859*u**2*u_x*u_yy - 0.271857440542988*u**2*u_x - 16.5178410141509*u**2*u_xx*u_y + 5.46608012237971*u**2*u_xx + 8.02005497003162*u**2*u_xy*u_y - 167.795692590392*u*u_x**2*u_xx + 113.994131896119*u*u_x**2*u_xy - 31.0336387009048*u*u_x**2*u_yy + 2.78297437179858*u*u_x**2 - 794.862632341303*u*u_x*u_xx*u_xy + 76.1971440782995*u*u_x*u_xx*u_y + 412.420118014377*u*u_x*u_xy*u_y + 22.9774043273893*u*u_x*u_y*u_yy - 0.455246706163661*u*u_x*u_y - 567.98608886883*u*u_xx*u_xy*u_y + 5.91140609557009*u*u_xx*u_xy + 61.711562332982*u*u_xx*u_y + 65.2564155992302*u*u_xy*u_y**2 + 150.249272648787*u*u_xy*u_y*u_yy + 14.2138827530137*u*u_xy*u_y + 26.6875700732924*u*u_y**2*u_yy - 0.123467951154039*u*u_y - 1.36478911659637*u*u_yy + 0.107963352830499*u + 15.7637621485803*u_x**2*u_xx + 2667.64130374828*u_x**2*u_xy*u_yy + 55.5785426662458*u_x**2*u_xy - 1030.3622906186*u_x*u_xx*u_xy*u_yy + 228.315746156276*u_x*u_xx*u_xy + 73.5630270941937*u_x*u_xx*u_y**2 - 8.4512391441635*u_x*u_xy*u_y**2 + 1783.16958698611*u_x*u_xy*u_y*u_yy + 20.5213232537514*u_x*u_xy - 250.921007488173*u_xx*u_xy*u_y*u_yy + 33.1713053982652*u_xx*u_xy*u_yy + 6.11063513502455*u_xx*u_xy + 77.7368976930809*u_xx*u_y*u_yy - 25.0618632678749*u_xx*u_y + 0.565474849002353*u_xx + 16.4075718904964*u_xy*u_y**2 - 0.786938796451141*u_y**2
47.0,0.0023611189820842084,0.156206038443753*u**4 - 0.202467006403061*u**3*u_x - 9.92779294274212*u**3*u_xx - 0.236677906655346*u**3 + 2.36350895804867*u**2*u_xx*u_y - 7.60179564303361*u**2*u_xx*u_yy + 9.88614662809557*u**2*u_xx + 1.99016860518347*u**2*u_xy*u_y + 0.488192188708347*u**2*u_xy + 1.86545581054853*u**2*u_y**2 + 0.958287372777133*u**2*u_y*u_yy - 237.903775381968*u*u_x*u_xx*u_xy + 25.072747463522*u*u_x*u_xx + 181.292042050422*u*u_x*u_xy*u_y + 12.3797856644942*u*u_x*u_y**2 - 148.585296863964*u*u_xx*u_y*u_yy + 66.5095428592053*u*u_xy*u_y**2 - 5.82234536908264*u*u_xy*u_y - 0.396365574099778*u*u_xy + 23.8011140766694*u*u_y**2*u_yy - 0.00753762433764331*u*u_y + 0.00109331964304396*u*u_yy + 0.0804923438369565*u - 476.507137886848*u_x**2*u_xx*u_yy + 12.326272050131*u_x**2*u_xx + 2.15833306784713*u_x**2*u_y**2 + 100.427502422913*u_x**2*u_y*u_yy + 7.85094746999851*u_x**2*u_y - 47.610239957019*u_x**2*u_yy - 925.078092859249*u_x*u_xx*u_xy*u_yy + 80.6055087590693*u_x*u_xx*u_xy - 23.5501916236708*u_x*u_xx*u_y + 0.0332561820577456*u_x*u_xx + 21.2748830034522*u_x*u_xy*u_y**2 - 0.314850353150039*u_x*u_xy + 1.43791261634127*u_x*u_yy - 0.237189673415105*u_x + 581.890305363874*u_xx*u_y**2*u_yy - 50.5013108384168*u_xx*u_y**2 + 114.475748755405*u_xx*u_y*u_yy + 0.177140754357129*u_xx + 47.1400593914672*u_xy*u_y**2*u_yy + 3.25811909384576*u_xy*u_y - 2.93535393735438*u_xy*u_yy - 0.820198461647044*u_y**2 - 0.0775774835343417*u_y - 0.0175142295933917*u_yy
49.0,0.002359028032445829,0.670215917510899*u**4 - 1.90675252119999*u**3*u_x - 1.85849154801741*u**3*u_xx - 0.505374542175638*u**3*u_xy - 0.102390243358183*u**3*u_y - 1.34709551303156*u**3 - 12.1702202959733*u**2*u_x*u_xy - 11.6197726343106*u**2*u_x*u_y + 57.0444066704462*u**2*u_xy*u_yy + 3.13897382505362*u**2*u_y*u_yy - 0.647796341828042*u**2*u_y - 0.120707792415796*u**2*u_yy + 0.676866419909259*u**2 - 32.2545549327932*u*u_x**2*u_xx - 17.0567603274135*u*u_x**2*u_xy - 25.4989420183409*u*u_x**2*u_y + 7.90689030504083*u*u_x**2 - 660.807539827685*u*u_x*u_xx*u_xy + 50.2784866049403*u*u_x*u_xx*u_y + 256.41239139825*u*u_x*u_xx*u_yy - 2.62293047739903*u*u_x*u_xx + 321.560927067867*u*u_x*u_xy*u_y - 50.1486150619851*u*u_x*u_xy*u_yy + 12.7542998137124*u*u_x*u_y + 2.01720964631991*u*u_x - 826.505633156876*u*u_xx*u_xy*u_y + 83.2787300624077*u*u_xx*u_xy*u_yy - 123.99248534094*u*u_xx*u_y*u_yy + 1.43310327463121*u*u_xx + 1.65436859175256*u*u_xy*u_y - 50.9333827516575*u*u_xy*u_yy - 2.51600754230812*u*u_y*u_yy + 0.827874410192887*u*u_y + 6.25478050067942*u_x**2*u_xx + 19.3815661991794*u_x**2*u_y - 49.3244971421405*u_x*u_xx*u_xy + 145.608594799906*u_x*u_xx*u_y**2 - 113.013891803243*u_x*u_xx*u_yy + 2.17114993300016*u_x*u_xx - 132.75882813164*u_x*u_xy*u_y - 32.6112652112295*u_x*u_y**2*u_yy - 1.51565211729472*u_x*u_y - 0.41454648528932*u_x - 484.870592812979*u_xx*u_xy*u_y**2 + 0.187678196575848*u_xx + 6.97287597792731*u_xy*u_y*u_yy - 0.676527814657998*u_y**2 - 0.180153193424783*u_y - 0.0789904186430421*u_yy
51.0,0.0023375758197585524,0.256268180869363*u**4 - 0.409848527882461*u**3*u_x - 8.66757026688283*u**3*u_xx + 1.30498678306826*u**3*u_xy + 1.50060688640829*u**3*u_yy - 0.370944347679208*u**3 + 126.597917855005*u**2*u_x*u_xx + 0.493301788428598*u**2*u_x*u_y + 19.2931526638595*u**2*u_xx*u_xy + 15.6438795908872*u**2*u_xx + 5.53227898524287*u**2*u_y*u_yy - 281.399268552349*u*u_x**2*u_xx - 9.7208631605637*u*u_x**2*u_xy - 252.322720611538*u*u_x*u_xx*u_y - 134.405280076632*u*u_x*u_xx - 92.3551344452474*u*u_x*u_xy*u_yy - 16.1683907827054*u*u_x*u_xy - 2.51706874696857*u*u_x*u_y + 80.3170253729747*u*u_xx*u_xy*u_y - 7.60637456348725*u*u_xx - 1.18108721577567*u*u_xy - 1.70173096614521*u*u_y**2 - 3.46256400228112*u*u_y*u_yy - 0.199161335178628*u*u_y - 1.34198090504172*u*u_yy + 0.114631560050645*u - 2025.61838226126*u_x**2*u_xx*u_yy - 130.833597037575*u_x**2*u_xx - 108.323299119192*u_x**2*u_xy*u_y + 352.215848148936*u_x**2*u_xy*u_yy + 28.7497392959225*u_x**2*u_y*u_yy + 2644.46837855388*u_x*u_xx*u_xy*u_y - 155.60693079731*u_x*u_xx*u_xy + 516.45734323894*u_x*u_xx*u_y**2 + 157.983906975348*u_x*u_xy*u_y**2 + 66.4810083274077*u_x*u_xy*u_y + 7.08821269231794*u_x*u_xy - 0.138001893451189*u_x - 18.7813678346185*u_xx*u_xy*u_y**2 + 373.648638609058*u_xx*u_xy*u_y*u_yy - 165.110494036725*u_xx*u_xy*u_y - 9.00997477837298*u_xx*u_y + 0.504717013491772*u_xx - 96.2234447208277*u_xy*u_y**2*u_yy + 41.955966702277*u_xy*u_y**2 - 20.4539759403011*u_xy*u_y*u_yy + 2.71820540741345*u_xy*u_y - 2.43643865128169*u_xy*u_yy + 0.142609614940721*u_xy + 8.34305196248086*u_y**2*u_yy - 0.142330976311193*u_y**2
53.0,0.002322805677196541,0.540782811197253*u**4 - 5.26886397915608*u**3*u_x - 0.339854388284776*u**3*u_xx + 3.3409383013383*u**3*u_yy - 1.03044522916561*u**3 - 3.90165445527968*u**2*u_x*u_xx + 5.44519340947452*u**2*u_x*u_y + 5.60548939729765*u**2*u_x - 74.2082547716324*u**2*u_xx*u_xy - 9.5754017264943*u**2*u_xx*u_yy + 1.32306040300384*u**2*u_xy*u_yy - 0.256597678562814*u**2*u_y - 3.57130652223872*u**2*u_yy + 0.430858219214137*u**2 - 65.0960955065095*u*u_x**2*u_xx - 18.4378535199133*u*u_x**2*u_xy + 379.163057802322*u*u_x**2*u_yy + 22.0554698234472*u*u_x**2 + 473.955906844241*u*u_x*u_xx*u_y + 0.213074860661813*u*u_x*u_xy*u_y - 15.3028331162584*u*u_x*u_xy - 9.73070801925135*u*u_x*u_yy + 77.1861867019416*u*u_xx*u_xy + 153.132079915847*u*u_xy*u_y*u_yy - 0.844773008579661*u*u_xy - 1.96082271147944*u*u_y**2 - 1.50734526500289*u*u_y*u_yy + 0.456651355845407*u*u_y + 0.0588682294894033*u + 1920.79865467924*u_x**2*u_xx*u_xy - 48.4103685230529*u_x**2*u_xx*u_y + 126.673653406499*u_x**2*u_xx + 1479.50130772298*u_x**2*u_xy*u_yy - 201.821219702932*u_x**2*u_yy - 7.88251212324023*u_x**2 - 765.346705288394*u_x*u_xx*u_xy*u_yy - 281.693740952915*u_x*u_xx*u_xy - 4293.50626335075*u_x*u_xx*u_y*u_yy - 238.046664355092*u_x*u_xx*u_y + 72.0103701767517*u_x*u_xy*u_y + 277.876106916635*u_x*u_xy*u_yy - 2.8942259664182*u_x*u_y**2 - 0.721117349865311*u_x*u_y - 0.473929215685311*u_x + 53.3193009425344*u_xx*u_xy*u_yy - 2180.13557175097*u_xx*u_y**2*u_yy - 41.6508414468381*u_xx*u_y**2 + 9.63850892397561*u_xx*u_yy - 655.681761799643*u_xy*u_y**2*u_yy + 7.40238233713575*u_xy*u_y + 0.40715077624734*u_y*u_yy - 0.153001661020895*u_y - 0.0494598111702924*u_yy
59.0,0.0023200031472760648,0.609276714529274*u**4 - 5.55280073024738*u**3*u_x - 1.22582652426399*u**3 - 3.41384604497832*u**2*u_x**2 - 13.8387276619685*u**2*u_x*u_yy + 5.91812010784701*u**2*u_x + 15.5533790593049*u**2*u_xx*u_y - 0.569135808836596*u**2*u_xx + 45.4171823230517*u**2*u_xy*u_yy + 2.93820787949466*u**2*u_xy - 0.696145958843739*u**2*u_y**2 + 1.79540907696491*u**2*u_yy + 0.616511586390077*u**2 - 158.869562245941*u*u_x**2*u_xx + 25.3454145625027*u*u_x**2 - 563.387311164308*u*u_x*u_xx*u_xy - 21.585786323643*u*u_x*u_xx - 2.95903364112735*u*u_x*u_y**2 - 1122.01843429717*u*u_xx*u_xy*u_y - 9.20472293714678*u*u_xx*u_xy - 29.5615270029814*u*u_xx*u_yy + 11.2218716166834*u*u_xy*u_y - 41.6086102346439*u*u_xy*u_yy - 3.67673087315779*u*u_xy + 36.3981192105618*u*u_y**2*u_yy - 2.03392470782603*u*u_y**2 + 0.189701905165634*u*u_y - 2.34835378398773*u*u_yy + 5180.49501241616*u_x**2*u_xx*u_xy - 5204.73141398397*u_x**2*u_xx*u_yy + 73.5915017045573*u_x**2*u_xx - 813.360167519969*u_x**2*u_xy*u_y + 45.8317017654755*u_x**2*u_xy - 21.1143209162019*u_x**2*u_yy - 9.27942210873513*u_x**2 + 10354.5054593897*u_x*u_xx*u_xy*u_y + 157.773953914285*u_x*u_xx*u_y**2 - 8600.31275859443*u_x*u_xx*u_y*u_yy - 154.721679128652*u_x*u_xx*u_yy - 766.514168711805*u_x*u_xy*u_y**2 - 3816.59729581964*u_x*u_xy*u_y*u_yy + 82.5511094807108*u_x*u_xy*u_y + 26.8963047158352*u_x*u_xy*u_yy - 203.49689875247*u_x*u_y**2*u_yy - 0.0600346126411654*u_x*u_y - 0.615856749996541*u_x + 6633.32333102841*u_xx*u_xy*u_y**2 - 2615.55693821084*u_xx*u_xy*u_y*u_yy + 361.705087883498*u_xx*u_xy*u_y + 158.660975752457*u_xx*u_xy*u_yy - 29.9920521222928*u_xx*u_xy - 1533.22556106666*u_xx*u_y**2*u_yy - 8.2580321171952*u_xx*u_y - 6.00336331215616*u_xx*u_yy - 1835.78426082694*u_xy*u_y**2*u_yy - 17.6547490478713*u_y**2*u_yy - 1.10748890134382*u_y*u_yy - 0.100911016890748*u_y + 0.108833922246068*u_yy
62.0,0.002299245793132573,0.564871198743456*u**4 - 5.10604940900225*u**3*u_x - 5.72757223231593*u**3*u_xx - 0.139281504197154*u**3*u_y + 1.42279904896793*u**3*u_yy - 1.1672253469259*u**3 - 4.31395626306938*u**2*u_x**2 - 15.5434307446381*u**2*u_x*u_yy + 5.59274909908816*u**2*u_x + 5.40482630073077*u**2*u_xx + 19.1620453441877*u**2*u_xy*u_y + 4.01115428567127*u**2*u_y*u_yy - 1.75703486670403*u**2*u_yy + 0.6024262940776*u**2 - 218.688673235714*u*u_x**2*u_xx + 57.2755651741504*u*u_x**2*u_xy + 420.528237497718*u*u_x**2*u_yy + 25.7476733945158*u*u_x**2 - 743.505649977143*u*u_x*u_xx*u_xy - 67.0536835775237*u*u_x*u_xx*u_y - 68.2534517268499*u*u_x*u_xx*u_yy - 717.232134280063*u*u_x*u_xy*u_y - 112.5712137457*u*u_x*u_xy*u_yy - 32.6362422998178*u*u_x*u_xy - 2.04991938357672*u*u_x*u_y**2 + 0.240902493346091*u*u_x*u_y - 662.134193431091*u*u_xx*u_xy*u_y - 452.885089456606*u*u_xx*u_xy*u_yy - 35.8048864375465*u*u_xx*u_xy + 656.383633027516*u*u_xx*u_y**2 - 470.442209633752*u*u_xx*u_y*u_yy + 59.6356429415179*u*u_xy*u_y**2 - 26.976297969527*u*u_xy*u_y - 1.11199250868137*u*u_xy - 2.0366824212866*u*u_y**2 - 6.36948103259557*u*u_y*u_yy + 0.242949559708717*u*u_y + 150.200670648347*u_x**2*u_xx - 315.701661129838*u_x**2*u_xy*u_y + 4251.46561756455*u_x**2*u_xy*u_yy - 282.205678736371*u_x**2*u_yy - 9.50337307346875*u_x**2 - 3807.42035943825*u_x*u_xx*u_xy*u_y - 3155.5291053586*u_x*u_xx*u_xy*u_yy + 234.623728052416*u_x*u_xx*u_y**2 - 7977.40107792922*u_x*u_xx*u_y*u_yy - 507.625424167041*u_x*u_xy*u_y**2 + 563.742216409916*u_x*u_xy*u_y + 189.006561645197*u_x*u_xy*u_yy + 15.1312993729961*u_x*u_xy - 307.996027939652*u_x*u_y**2*u_yy - 0.611211298794901*u_x - 138.384189146193*u_xx*u_xy*u_y + 92.8208744590066*u_xx*u_xy*u_yy + 25.0879966934565*u_xx*u_xy - 607.10370791916*u_xx*u_y**2*u_yy - 383.254702521559*u_xx*u_y**2 + 18.6988474005809*u_xx*u_yy + 17.0793556311771*u_xy*u_y + 0.808971421881829*u_y**2*u_yy - 0.111014582627253*u_y + 0.0502302883234759*u_yy
